run,score
0,-131.7436853661794
1,-245.41122930578038
2,-0.06647977799886183
3,-115.52140452377994
4,-329.94633946055006
5,-0.07311537378791116
6,-234.36408872546443
7,-127.44113503757234
8,-381.1661239297466
9,-0.7317604785373575
10,-132.24882056043316
11,-253.38499774421652
12,-239.87993462288574
13,-130.04606357347487
14,-360.6404559643516
15,-365.20290197082255
16,-121.75630979321993
17,-137.9448177980622
18,-0.6794841710282132
19,-256.7386652236914
20,-266.0884292483817
21,-371.5102099646486
22,-247.88720444371515
23,-374.8769030804105
24,-294.51859525019927
25,-126.44743272804142
26,-118.26135447354817
27,-359.79874299787843
28,-253.84545745860822
29,-270.11269196938514
30,-261.0060222145054
31,-266.7868949658927
32,-244.65689373225078
33,-257.4581473429572
34,-124.67896834580223
35,-129.34951981899277
36,-2.372957716649733
37,-124.02791845330074
38,-131.84287885569736
39,-247.67511313846896
40,-127.04388855695889
41,-132.22260665602622
42,-122.59887444241582
43,-131.41239174030613
44,-131.88182767280549
45,-0.165938543906926
46,-361.2495611158388
47,-376.1957266106471
48,-119.52135475524156
49,-238.2270376528359
50,-131.79571732092842
51,-125.13243788144916
52,-378.6984212274884
53,-128.99870047043723
54,-290.59489205208763
55,-232.05166217843276
56,-132.20586695726288
57,-0.2027419891017769
58,-119.13225564760236
59,-248.2769605700911
60,-128.62688404616443
61,-128.14835443562328
62,-133.54196241873998
63,-119.00254707619268
64,-126.99725210903361
65,-227.12670467909027
66,-249.43164241893587
67,-130.3551721109279
68,-245.76920002259155
69,-0.04866034281584453
70,-130.62923234680935
71,-236.2462807493493
72,-373.67316597047625
73,-364.4266448760403
74,-133.7171700168626
75,-129.27902504170294
76,-257.5998433236633
77,-492.0122761387946
78,-134.92521980979234
79,-126.81592758093613
80,-263.4560362793014
81,-380.0332007722864
82,-131.96984124300036
83,-130.6178589166288
84,-376.38558863777246
85,-380.66511238811387
86,-370.10452957855483
87,-115.86190937467275
88,-241.69545602137484
89,-0.17936441590065302
90,-0.028568220703336023
91,-238.00602398769692
92,-2.5514132615446807
93,-364.4900898390678
94,-240.74376470844274
95,-286.0638518942295
96,-128.9564389100051
97,-127.92604680707332
98,-134.63290623194402
99,-254.00381625192466
